press,h2_production
5.0,1.7079442
5.202020202020202,1.7139444
5.404040404040404,1.7198269
5.606060606060606,1.7255963
5.808080808080808,1.7312568
6.01010101010101,1.7368126
6.212121212121212,1.7422673
6.414141414141414,1.7476245
6.616161616161616,1.7528878
6.818181818181818,1.7580604
7.020202020202021,1.7631452
7.222222222222222,1.7681454
7.424242424242424,1.7730635
7.626262626262626,1.7779023
7.828282828282829,1.7826643
8.030303030303031,1.7873519
8.232323232323232,1.7919674
8.434343434343434,1.7965129
8.636363636363637,1.8009906
8.838383838383837,1.8054025
9.040404040404042,1.8097504
9.242424242424242,1.8140362
9.444444444444445,1.8182616
9.646464646464647,1.8224283
9.848484848484848,1.826538
10.05050505050505,1.8305921
10.252525252525253,1.8345922
10.454545454545453,1.8385396
10.656565656565657,1.8424357
10.858585858585858,1.8462819
11.06060606060606,1.8500795
11.262626262626263,1.8538295
11.464646464646464,1.8575333
11.666666666666668,1.8611918
11.868686868686869,1.8648063
12.070707070707071,1.8683778
12.272727272727273,1.8719073
12.474747474747474,1.8753957
12.676767676767676,1.878844
12.878787878787879,1.8822531
13.080808080808081,1.8856239
13.282828282828282,1.8889573
13.484848484848484,1.892254
13.686868686868687,1.8955149
13.88888888888889,1.8987408
14.09090909090909,1.9019323
14.292929292929292,1.9050902
14.494949494949495,1.9082153
14.696969696969697,1.9113081
14.8989898989899,1.9143693
15.1010101010101,1.9173996
15.303030303030303,1.9203997
15.505050505050505,1.92337
15.707070707070708,1.9263112
15.909090909090908,1.9292238
16.11111111111111,1.9321085
16.313131313131315,1.9349656
16.515151515151516,1.9377958
16.717171717171716,1.9405996
16.919191919191917,1.9433774
17.12121212121212,1.9461297
17.323232323232325,1.948857
17.525252525252526,1.9515597
17.727272727272727,1.9542383
17.929292929292927,1.9568932
18.13131313131313,1.9595248
18.333333333333336,1.9621335
18.535353535353536,1.9647197
18.737373737373737,1.9672839
18.939393939393938,1.9698262
19.141414141414142,1.9723473
19.343434343434343,1.9748473
19.545454545454547,1.9773266
19.747474747474747,1.9797857
19.949494949494948,1.9822247
20.15151515151515,1.9846441
20.353535353535353,1.9870441
20.555555555555557,1.989425
20.757575757575758,1.9917873
20.95959595959596,1.994131
21.161616161616163,1.9964566
21.363636363636363,1.9987643
21.565656565656564,2.0010544
21.767676767676768,2.0033271
21.96969696969697,2.0055828
22.171717171717173,2.0078216
22.373737373737374,2.0100438
22.575757575757574,2.0122497
22.77777777777778,2.0144395
22.97979797979798,2.0166135
23.18181818181818,2.0187717
23.383838383838384,2.0209146
23.585858585858585,2.0230423
23.78787878787879,2.025155
23.98989898989899,2.0272529
24.19191919191919,2.0293362
24.393939393939394,2.0314052
24.595959595959595,2.03346
24.7979797979798,2.0355008
25.0,2.0375278
