biogas_mass,h2_production
10.0,0.75
10.909090909090908,0.7727273
11.818181818181818,0.7954545
12.727272727272727,0.8181818
13.636363636363637,0.8409091
14.545454545454545,0.8636364
15.454545454545453,0.8863636
16.363636363636363,0.9090909
17.272727272727273,0.9318182
18.18181818181818,0.9545455
19.09090909090909,0.9772727
20.0,1.0
20.909090909090907,1.0227273
21.81818181818182,1.0454545
22.727272727272727,1.0681818
23.636363636363637,1.0909091
24.545454545454547,1.1136364
25.454545454545453,1.1363636
26.363636363636363,1.1590909
27.272727272727273,1.1818182
28.18181818181818,1.2045455
29.09090909090909,1.2272727
30.0,1.25
30.90909090909091,1.2727273
31.818181818181817,1.2954545
32.72727272727273,1.3181818
33.63636363636364,1.3409091
34.54545454545455,1.3636364
35.45454545454545,1.3863636
36.36363636363636,1.4090909
37.27272727272727,1.4318182
38.18181818181818,1.4545455
39.09090909090909,1.4772727
40.0,1.5
40.90909090909091,1.5227273
41.81818181818181,1.5454545
42.72727272727273,1.5681818
43.63636363636363,1.5909091
44.54545454545455,1.6136364
45.45454545454545,1.6363636
46.36363636363636,1.6590909
47.27272727272727,1.6818182
48.18181818181818,1.7045455
49.090909090909086,1.7272727
50.0,1.75
50.90909090909091,1.7727273
51.81818181818182,1.7954545
52.72727272727273,1.8181818
53.63636363636363,1.8409091
54.54545454545455,1.8636364
55.45454545454545,1.8863636
56.36363636363636,1.9090909
57.27272727272727,1.9318182
58.18181818181818,1.9545455
59.090909090909086,1.9772727
60.0,2.0
60.90909090909091,2.0227273
61.81818181818181,2.0454545
62.72727272727273,2.0681818
63.63636363636363,2.0909091
64.54545454545455,2.1136364
65.45454545454545,2.1363636
66.36363636363636,2.1590909
67.27272727272728,2.1818182
68.18181818181819,2.2045455
69.0909090909091,2.2272727
70.0,2.25
70.9090909090909,2.2727273
71.81818181818181,2.2954545
72.72727272727272,2.3181818
73.63636363636363,2.3409091
74.54545454545455,2.3636364
75.45454545454545,2.3863636
76.36363636363636,2.4090909
77.27272727272727,2.4318182
78.18181818181817,2.4545455
79.0909090909091,2.4772727
80.0,2.5
80.9090909090909,2.5227273
81.81818181818181,2.5454545
82.72727272727272,2.5681818
83.63636363636364,2.5909091
84.54545454545455,2.6136364
85.45454545454545,2.6363636
86.36363636363636,2.6590909
87.27272727272727,2.6818182
88.18181818181817,2.7045455
89.0909090909091,2.7272727
90.0,2.75
90.9090909090909,2.7727273
91.81818181818181,2.7954545
92.72727272727272,2.8181818
93.63636363636364,2.8409091
94.54545454545455,2.8636364
95.45454545454545,2.8863636
96.36363636363636,2.9090909
97.27272727272727,2.9318182
98.18181818181817,2.9545455
99.0909090909091,2.9772727
100.0,3.0
